"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -5.764322e+001,
17174625, -6.930951e+001,
34049250, -6.461483e+001,
50923875, -6.453588e+001,
67798500, -8.045210e+001,
84673125, -8.611353e+001,
101547750, -7.459618e+001,
118422375, -8.299463e+001,
135297000, -6.832374e+001,
152171625, -7.121686e+001,
169046250, -7.023357e+001,
185920875, -7.151271e+001,
202795500, -7.058450e+001,
219670125, -6.978252e+001,
236544750, -6.482118e+001,
253419375, -7.701321e+001,
270294000, -7.462796e+001,
287168625, -7.438973e+001,
304043250, -7.247319e+001,
320917875, -6.529176e+001,
337792500, -6.890070e+001,
354667125, -7.370196e+001,
371541750, -7.035021e+001,
388416375, -7.193987e+001,
405291000, -6.835473e+001,
422165625, -7.077413e+001,
439040250, -7.816982e+001,
455914875, -7.921317e+001,
472789500, -7.046977e+001,
489664125, -7.054404e+001,
506538750, -7.064462e+001,
523413375, -7.226154e+001,
540288000, -6.851279e+001,
557162625, -6.652031e+001,
574037250, -7.249083e+001,
590911875, -7.759316e+001,
607786500, -6.306999e+001,
624661125, -6.898273e+001,
641535750, -6.666138e+001,
658410375, -6.506500e+001,
675285000, -6.745180e+001,
692159625, -6.726286e+001,
709034250, -7.275552e+001,
725908875, -6.691545e+001,
742783500, -7.610141e+001,
759658125, -7.137290e+001,
776532750, -6.753900e+001,
793407375, -6.779401e+001,
810282000, -7.107110e+001,
827156625, -7.007717e+001,
844031250, -7.208006e+001,
860905875, -7.051131e+001,
877780500, -6.834839e+001,
894655125, -6.699467e+001,
911529750, -6.908601e+001,
928404375, -7.542725e+001,
945279000, -6.828448e+001,
962153625, -7.000947e+001,
979028250, -7.444392e+001,
995902875, -6.399748e+001,
1012777500, -6.429259e+001,
1029652125, -7.561144e+001,
1046526750, -6.634991e+001,
1063401375, -7.069600e+001,
1080276000, -7.853944e+001,
1097150625, -6.178301e+001,
1114025250, -7.199264e+001,
1130899875, -6.376458e+001,
1147774500, -7.626337e+001,
1164649125, -6.771884e+001,
1181523750, -6.945531e+001,
1198398375, -6.933480e+001,
1215273000, -6.132487e+001,
1232147625, -6.896978e+001,
1249022250, -6.447866e+001,
1265896875, -7.347339e+001,
1282771500, -6.069708e+001,
1299646125, -6.542657e+001,
1316520750, -7.153139e+001,
1333395375, -6.367992e+001,
1350270000, -6.676810e+001,
1367144625, -6.690610e+001,
1384019250, -7.124059e+001,
1400893875, -6.823762e+001,
1417768500, -7.927345e+001,
1434643125, -8.346436e+001,
1451517750, -6.345412e+001,
1468392375, -6.349618e+001,
1485267000, -7.074015e+001,
1502141625, -6.272327e+001,
1519016250, -5.982220e+001,
1535890875, -6.853344e+001,
1552765500, -6.467596e+001,
1569640125, -5.993449e+001,
1586514750, -6.535860e+001,
1603389375, -6.412466e+001,
1620264000, -5.961305e+001,
1637138625, -6.463578e+001,
1654013250, -6.301641e+001,
1670887875, -5.929514e+001,
1687762500, -6.110713e+001,
1704637125, -5.990194e+001,
1721511750, -5.894539e+001,
1738386375, -6.282796e+001,
1755261000, -6.441894e+001,
1772135625, -6.276369e+001,
1789010250, -6.052692e+001,
1805884875, -6.148935e+001,
1822759500, -6.138859e+001,
1839634125, -5.970026e+001,
1856508750, -6.232037e+001,
1873383375, -5.807765e+001,
1890258000, -6.291386e+001,
1907132625, -5.789544e+001,
1924007250, -5.584520e+001,
1940881875, -5.971796e+001,
1957756500, -5.938960e+001,
1974631125, -5.672197e+001,
1991505750, -5.876672e+001,
2008380375, -5.723875e+001,
2025255000, -5.733776e+001,
2042129625, -5.671977e+001,
2059004250, -5.673883e+001,
2075878875, -5.725502e+001,
2092753500, -5.253446e+001,
2109628125, -5.753765e+001,
2126502750, -5.499886e+001,
2143377375, -5.524805e+001,
2160252000, -5.478297e+001,
2177126625, -5.645794e+001,
2194001250, -5.567860e+001,
2210875875, -5.448514e+001,
2227750500, -5.356978e+001,
2244625125, -5.393678e+001,
2261499750, -5.380523e+001,
2278374375, -5.384408e+001,
2295249000, -5.268222e+001,
2312123625, -5.309031e+001,
2328998250, -5.263851e+001,
2345872875, -5.175368e+001,
2362747500, -5.127477e+001,
2379622125, -5.025487e+001,
2396496750, -5.089505e+001,
2413371375, -5.022787e+001,
2430246000, -5.019310e+001,
2447120625, -4.985207e+001,
2463995250, -4.959374e+001,
2480869875, -4.902321e+001,
2497744500, -4.901123e+001,
2514619125, -4.928703e+001,
2531493750, -4.788839e+001,
2548368375, -4.757726e+001,
2565243000, -4.684560e+001,
2582117625, -4.685257e+001,
2598992250, -4.565739e+001,
