"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -5.399221e-002,
17174625, -1.843153e-001,
34049250, -2.601061e-001,
50923875, -3.225489e-001,
67798500, -3.744241e-001,
84673125, -4.148003e-001,
101547750, -4.619604e-001,
118422375, -4.992002e-001,
135297000, -5.341746e-001,
152171625, -5.642912e-001,
169046250, -6.048571e-001,
185920875, -6.279905e-001,
202795500, -6.549357e-001,
219670125, -6.874392e-001,
236544750, -7.106254e-001,
253419375, -7.326674e-001,
270294000, -7.633989e-001,
287168625, -7.794973e-001,
304043250, -8.159391e-001,
320917875, -8.404822e-001,
337792500, -8.502663e-001,
354667125, -8.661174e-001,
371541750, -8.857970e-001,
388416375, -9.082276e-001,
405291000, -9.276468e-001,
422165625, -9.503372e-001,
439040250, -9.683092e-001,
455914875, -9.938290e-001,
472789500, -1.003597e+000,
489664125, -1.024795e+000,
506538750, -1.042544e+000,
523413375, -1.059379e+000,
540288000, -1.088312e+000,
557162625, -1.116949e+000,
574037250, -1.116598e+000,
590911875, -1.123934e+000,
607786500, -1.137939e+000,
624661125, -1.149655e+000,
641535750, -1.169596e+000,
658410375, -1.185798e+000,
675285000, -1.194359e+000,
692159625, -1.214148e+000,
709034250, -1.228485e+000,
725908875, -1.241152e+000,
742783500, -1.267189e+000,
759658125, -1.271717e+000,
776532750, -1.282144e+000,
793407375, -1.308865e+000,
810282000, -1.313642e+000,
827156625, -1.328074e+000,
844031250, -1.342904e+000,
860905875, -1.351370e+000,
877780500, -1.363653e+000,
894655125, -1.376665e+000,
911529750, -1.397720e+000,
928404375, -1.408748e+000,
945279000, -1.420239e+000,
962153625, -1.431324e+000,
979028250, -1.447697e+000,
995902875, -1.463494e+000,
1012777500, -1.472877e+000,
1029652125, -1.486530e+000,
1046526750, -1.491899e+000,
1063401375, -1.502420e+000,
1080276000, -1.515325e+000,
1097150625, -1.528698e+000,
1114025250, -1.540925e+000,
1130899875, -1.554420e+000,
1147774500, -1.564726e+000,
1164649125, -1.578254e+000,
1181523750, -1.593468e+000,
1198398375, -1.598601e+000,
1215273000, -1.607580e+000,
1232147625, -1.626029e+000,
1249022250, -1.639172e+000,
1265896875, -1.652278e+000,
1282771500, -1.657864e+000,
1299646125, -1.669141e+000,
1316520750, -1.681170e+000,
1333395375, -1.688267e+000,
1350270000, -1.707448e+000,
1367144625, -1.715997e+000,
1384019250, -1.718119e+000,
1400893875, -1.735389e+000,
1417768500, -1.753849e+000,
1434643125, -1.760394e+000,
1451517750, -1.770237e+000,
1468392375, -1.781033e+000,
1485267000, -1.788614e+000,
1502141625, -1.800681e+000,
1519016250, -1.807551e+000,
1535890875, -1.824221e+000,
1552765500, -1.827241e+000,
1569640125, -1.841672e+000,
1586514750, -1.849870e+000,
1603389375, -1.870848e+000,
1620264000, -1.884506e+000,
1637138625, -1.885090e+000,
1654013250, -1.886200e+000,
1670887875, -1.902431e+000,
1687762500, -1.906466e+000,
1704637125, -1.915573e+000,
1721511750, -1.937557e+000,
1738386375, -1.942542e+000,
1755261000, -1.944777e+000,
1772135625, -1.956681e+000,
1789010250, -1.970114e+000,
1805884875, -1.974556e+000,
1822759500, -1.983548e+000,
1839634125, -1.991736e+000,
1856508750, -2.006202e+000,
1873383375, -2.020367e+000,
1890258000, -2.028132e+000,
1907132625, -2.038524e+000,
1924007250, -2.049462e+000,
1940881875, -2.058888e+000,
1957756500, -2.077186e+000,
1974631125, -2.080342e+000,
1991505750, -2.092428e+000,
2008380375, -2.093488e+000,
2025255000, -2.110032e+000,
2042129625, -2.122451e+000,
2059004250, -2.124949e+000,
2075878875, -2.129488e+000,
2092753500, -2.140638e+000,
2109628125, -2.151348e+000,
2126502750, -2.158472e+000,
2143377375, -2.177016e+000,
2160252000, -2.177007e+000,
2177126625, -2.197531e+000,
2194001250, -2.212772e+000,
2210875875, -2.210239e+000,
2227750500, -2.212203e+000,
2244625125, -2.220351e+000,
2261499750, -2.235586e+000,
2278374375, -2.246852e+000,
2295249000, -2.251647e+000,
2312123625, -2.275134e+000,
2328998250, -2.296461e+000,
2345872875, -2.291385e+000,
2362747500, -2.302311e+000,
2379622125, -2.308952e+000,
2396496750, -2.318814e+000,
2413371375, -2.341942e+000,
2430246000, -2.366899e+000,
2447120625, -2.347596e+000,
2463995250, -2.353624e+000,
2480869875, -2.361077e+000,
2497744500, -2.382812e+000,
2514619125, -2.409112e+000,
2531493750, -2.391830e+000,
2548368375, -2.394336e+000,
2565243000, -2.401923e+000,
2582117625, -2.419248e+000,
2598992250, -2.434880e+000,
2615866875, -2.445979e+000,
2632741500, -2.444394e+000,
2649616125, -2.456602e+000,
2666490750, -2.467804e+000,
2683365375, -2.464496e+000,
2700240000, -2.486533e+000,
2717114625, -2.493798e+000,
2733989250, -2.505540e+000,
2750863875, -2.524795e+000,
2767738500, -2.529294e+000,
2784613125, -2.527176e+000,
2801487750, -2.536370e+000,
2818362375, -2.548470e+000,
2835237000, -2.569455e+000,
2852111625, -2.571721e+000,
2868986250, -2.577684e+000,
2885860875, -2.612887e+000,
2902735500, -2.608669e+000,
2919610125, -2.599293e+000,
2936484750, -2.614240e+000,
2953359375, -2.618569e+000,
2970234000, -2.628112e+000,
2987108625, -2.641719e+000,
3003983250, -2.650505e+000,
3020857875, -2.676603e+000,
3037732500, -2.671590e+000,
3054607125, -2.671757e+000,
3071481750, -2.688699e+000,
3088356375, -2.690742e+000,
3105231000, -2.686579e+000,
3122105625, -2.688848e+000,
3138980250, -2.694429e+000,
3155854875, -2.692457e+000,
3172729500, -2.710277e+000,
3189604125, -2.714004e+000,
3206478750, -2.735141e+000,
3223353375, -2.744971e+000,
3240228000, -2.734407e+000,
3257102625, -2.736356e+000,
3273977250, -2.748889e+000,
3290851875, -2.770577e+000,
3307726500, -2.774443e+000,
3324601125, -2.775059e+000,
3341475750, -2.774541e+000,
3358350375, -2.787807e+000,
3375225000, -2.778381e+000,
3392099625, -2.793684e+000,
