"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -5.788806e+001,
17174625, -7.358805e+001,
34049250, -6.277565e+001,
50923875, -6.482034e+001,
67798500, -6.551442e+001,
84673125, -7.379984e+001,
101547750, -7.060493e+001,
118422375, -7.162190e+001,
135297000, -7.781699e+001,
152171625, -8.213651e+001,
169046250, -7.322150e+001,
185920875, -8.547584e+001,
202795500, -6.758139e+001,
219670125, -6.594373e+001,
236544750, -7.095183e+001,
253419375, -6.874287e+001,
270294000, -6.747282e+001,
287168625, -6.455480e+001,
304043250, -6.715784e+001,
320917875, -6.668389e+001,
337792500, -6.564642e+001,
354667125, -6.746915e+001,
371541750, -7.761088e+001,
388416375, -7.167941e+001,
405291000, -7.914037e+001,
422165625, -6.665896e+001,
439040250, -7.395217e+001,
455914875, -7.315952e+001,
472789500, -6.874509e+001,
489664125, -7.121368e+001,
506538750, -7.013351e+001,
523413375, -7.597801e+001,
540288000, -6.706947e+001,
557162625, -7.025801e+001,
574037250, -6.673465e+001,
590911875, -7.337035e+001,
607786500, -6.574199e+001,
624661125, -8.080996e+001,
641535750, -7.593157e+001,
658410375, -7.201248e+001,
675285000, -7.413373e+001,
692159625, -6.989717e+001,
709034250, -6.464783e+001,
725908875, -6.529556e+001,
742783500, -6.589005e+001,
759658125, -7.461211e+001,
776532750, -7.314264e+001,
793407375, -6.933173e+001,
810282000, -6.978851e+001,
827156625, -6.909778e+001,
844031250, -6.633768e+001,
860905875, -6.622028e+001,
877780500, -8.281760e+001,
894655125, -6.258740e+001,
911529750, -7.011098e+001,
928404375, -6.712427e+001,
945279000, -7.699062e+001,
962153625, -6.798505e+001,
979028250, -7.132601e+001,
995902875, -6.809748e+001,
1012777500, -7.749743e+001,
1029652125, -7.384138e+001,
1046526750, -6.995078e+001,
1063401375, -7.201320e+001,
1080276000, -6.554144e+001,
1097150625, -8.201750e+001,
1114025250, -7.020155e+001,
1130899875, -7.542341e+001,
1147774500, -7.622807e+001,
1164649125, -7.007336e+001,
1181523750, -7.492033e+001,
1198398375, -6.507853e+001,
1215273000, -7.052686e+001,
1232147625, -7.240575e+001,
1249022250, -6.948293e+001,
1265896875, -6.879971e+001,
1282771500, -7.615247e+001,
1299646125, -7.173475e+001,
1316520750, -7.073216e+001,
1333395375, -6.716143e+001,
1350270000, -7.196683e+001,
1367144625, -6.828785e+001,
1384019250, -7.631447e+001,
1400893875, -8.005714e+001,
1417768500, -6.701116e+001,
1434643125, -6.882134e+001,
1451517750, -7.344598e+001,
1468392375, -7.206724e+001,
1485267000, -7.515363e+001,
1502141625, -8.723471e+001,
1519016250, -7.712309e+001,
1535890875, -7.138787e+001,
1552765500, -8.577755e+001,
1569640125, -7.183906e+001,
1586514750, -7.099517e+001,
1603389375, -7.383591e+001,
1620264000, -7.533733e+001,
1637138625, -6.876680e+001,
1654013250, -6.267514e+001,
1670887875, -8.407018e+001,
1687762500, -8.181271e+001,
1704637125, -7.133047e+001,
1721511750, -7.673112e+001,
1738386375, -7.687054e+001,
1755261000, -6.680424e+001,
1772135625, -6.319917e+001,
1789010250, -6.389788e+001,
1805884875, -6.700541e+001,
1822759500, -7.402967e+001,
1839634125, -7.224884e+001,
1856508750, -6.563457e+001,
1873383375, -6.833363e+001,
1890258000, -6.733703e+001,
1907132625, -7.032731e+001,
1924007250, -7.092819e+001,
1940881875, -6.957718e+001,
1957756500, -6.825333e+001,
1974631125, -6.436795e+001,
1991505750, -6.725389e+001,
2008380375, -6.378650e+001,
2025255000, -6.630956e+001,
2042129625, -7.410439e+001,
2059004250, -6.913013e+001,
2075878875, -6.295634e+001,
2092753500, -8.277666e+001,
2109628125, -6.963727e+001,
2126502750, -6.576858e+001,
2143377375, -6.672439e+001,
2160252000, -6.331980e+001,
2177126625, -6.457498e+001,
2194001250, -6.075623e+001,
2210875875, -6.157333e+001,
2227750500, -6.478333e+001,
2244625125, -6.669225e+001,
2261499750, -6.129351e+001,
2278374375, -5.999822e+001,
2295249000, -6.265306e+001,
2312123625, -6.316165e+001,
2328998250, -5.993701e+001,
2345872875, -5.944426e+001,
2362747500, -6.062133e+001,
2379622125, -6.223586e+001,
2396496750, -6.294457e+001,
2413371375, -5.822044e+001,
2430246000, -6.147146e+001,
2447120625, -5.998346e+001,
2463995250, -6.228872e+001,
2480869875, -5.665242e+001,
2497744500, -5.991523e+001,
2514619125, -6.129588e+001,
2531493750, -5.620704e+001,
2548368375, -5.884739e+001,
2565243000, -5.690055e+001,
2582117625, -5.690733e+001,
2598992250, -5.635793e+001,
2615866875, -5.600812e+001,
2632741500, -5.831815e+001,
2649616125, -5.631736e+001,
2666490750, -5.370674e+001,
2683365375, -5.312184e+001,
2700240000, -5.392624e+001,
2717114625, -5.257811e+001,
2733989250, -5.341930e+001,
2750863875, -5.183083e+001,
2767738500, -5.121712e+001,
2784613125, -5.104264e+001,
2801487750, -4.968353e+001,
2818362375, -5.025077e+001,
2835237000, -5.074604e+001,
2852111625, -5.082939e+001,
2868986250, -5.013489e+001,
2885860875, -4.936882e+001,
2902735500, -4.938273e+001,
2919610125, -4.918420e+001,
2936484750, -4.882101e+001,
2953359375, -4.677849e+001,
2970234000, -4.668081e+001,
2987108625, -4.666384e+001,
3003983250, -4.650591e+001,
3020857875, -4.637920e+001,
3037732500, -4.557203e+001,
3054607125, -4.473289e+001,
3071481750, -4.462172e+001,
3088356375, -4.310351e+001,
3105231000, -4.234462e+001,
3122105625, -4.149517e+001,
3138980250, -4.185711e+001,
3155854875, -4.150053e+001,
3172729500, -4.118156e+001,
3189604125, -4.029617e+001,
3206478750, -4.030441e+001,
3223353375, -3.866443e+001,
3240228000, -3.813220e+001,
3257102625, -3.748729e+001,
3273977250, -3.667400e+001,
3290851875, -3.626622e+001,
3307726500, -3.606393e+001,
3324601125, -3.532569e+001,
3341475750, -3.410107e+001,
3358350375, -3.349451e+001,
3375225000, -3.277864e+001,
3392099625, -3.174869e+001,
3408974250, -3.119899e+001,
3425848875, -3.071075e+001,
3442723500, -2.990794e+001,
3459598125, -2.888913e+001,
3476472750, -2.806742e+001,
3493347375, -2.736884e+001,
3510222000, -2.659350e+001,
3527096625, -2.602918e+001,
3543971250, -2.554740e+001,
3560845875, -2.453089e+001,
3577720500, -2.349593e+001,
3594595125, -2.246967e+001,
3611469750, -2.113283e+001,
3628344375, -1.983790e+001,
3645219000, -1.904041e+001,
3662093625, -1.838684e+001,
3678968250, -1.755390e+001,
3695842875, -1.672183e+001,
3712717500, -1.569755e+001,
3729592125, -1.415915e+001,
3746466750, -1.270181e+001,
3763341375, -1.162222e+001,
3780216000, -1.061007e+001,
3797090625, -9.658122e+000,
3813965250, -8.867720e+000,
3830839875, -7.878003e+000,
3847714500, -6.724254e+000,
3864589125, -5.832002e+000,
3881463750, -5.126311e+000,
3898338375, -4.539600e+000,
3915213000, -4.219250e+000,
3932087625, -4.038030e+000,
3948962250, -3.860567e+000,
3965836875, -3.791073e+000,
3982711500, -3.747012e+000,
3999586125, -3.690141e+000,
4016460750, -3.673324e+000,
4033335375, -3.684844e+000,
4050210000, -3.705441e+000,
4067084625, -3.706379e+000,
4083959250, -3.694047e+000,
4100833875, -3.711972e+000,
4117708500, -3.728616e+000,
4134583125, -3.730197e+000,
4151457750, -3.728613e+000,
4168332375, -3.733948e+000,
4185207000, -3.760580e+000,
4202081625, -3.770124e+000,
4218956250, -3.784822e+000,
4235830875, -3.808613e+000,
