"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -1.867994e-002,
17174625, -4.577069e-002,
34049250, -6.477163e-002,
50923875, -8.520059e-002,
67798500, -9.853384e-002,
84673125, -1.089960e-001,
101547750, -1.221430e-001,
118422375, -1.266894e-001,
135297000, -1.352473e-001,
152171625, -1.482776e-001,
169046250, -1.580184e-001,
185920875, -1.618727e-001,
202795500, -1.705033e-001,
219670125, -1.776752e-001,
236544750, -1.855300e-001,
253419375, -1.883490e-001,
270294000, -1.999198e-001,
287168625, -2.047350e-001,
304043250, -2.222198e-001,
320917875, -2.277453e-001,
337792500, -2.266866e-001,
354667125, -2.293371e-001,
371541750, -2.324293e-001,
388416375, -2.386611e-001,
405291000, -2.469516e-001,
422165625, -2.536847e-001,
439040250, -2.571044e-001,
455914875, -2.676003e-001,
472789500, -2.695526e-001,
489664125, -2.717071e-001,
506538750, -2.744789e-001,
523413375, -2.832604e-001,
540288000, -2.927357e-001,
557162625, -2.999427e-001,
574037250, -3.031779e-001,
590911875, -3.010034e-001,
607786500, -3.088544e-001,
624661125, -3.075608e-001,
641535750, -3.095319e-001,
658410375, -3.156526e-001,
675285000, -3.197284e-001,
692159625, -3.224110e-001,
709034250, -3.303813e-001,
725908875, -3.368610e-001,
742783500, -3.425036e-001,
759658125, -3.441885e-001,
776532750, -3.486820e-001,
793407375, -3.545271e-001,
810282000, -3.522542e-001,
827156625, -3.663380e-001,
844031250, -3.650286e-001,
860905875, -3.697446e-001,
877780500, -3.670210e-001,
894655125, -3.730126e-001,
911529750, -3.761416e-001,
928404375, -3.803695e-001,
945279000, -3.819061e-001,
962153625, -3.841552e-001,
979028250, -3.908921e-001,
995902875, -3.901951e-001,
1012777500, -3.972324e-001,
1029652125, -4.055383e-001,
1046526750, -4.039861e-001,
1063401375, -4.087381e-001,
1080276000, -4.036416e-001,
1097150625, -4.105290e-001,
1114025250, -4.105044e-001,
1130899875, -4.216760e-001,
1147774500, -4.308032e-001,
1164649125, -4.258889e-001,
1181523750, -4.314384e-001,
1198398375, -4.312658e-001,
1215273000, -4.392040e-001,
1232147625, -4.448676e-001,
1249022250, -4.436895e-001,
1265896875, -4.434757e-001,
1282771500, -4.470169e-001,
1299646125, -4.520049e-001,
1316520750, -4.595105e-001,
1333395375, -4.551345e-001,
1350270000, -4.638813e-001,
1367144625, -4.659935e-001,
1384019250, -4.688171e-001,
1400893875, -4.689626e-001,
1417768500, -4.666106e-001,
1434643125, -4.742663e-001,
1451517750, -4.782666e-001,
1468392375, -4.810075e-001,
1485267000, -4.898641e-001,
1502141625, -4.891942e-001,
1519016250, -4.912859e-001,
1535890875, -4.945091e-001,
1552765500, -4.911950e-001,
1569640125, -5.017532e-001,
1586514750, -4.961031e-001,
1603389375, -4.984725e-001,
1620264000, -5.010209e-001,
1637138625, -5.099343e-001,
1654013250, -5.081595e-001,
1670887875, -5.190575e-001,
1687762500, -5.206953e-001,
1704637125, -5.206982e-001,
1721511750, -5.224357e-001,
1738386375, -5.237271e-001,
1755261000, -5.275253e-001,
1772135625, -5.268398e-001,
1789010250, -5.356997e-001,
1805884875, -5.364733e-001,
1822759500, -5.429853e-001,
1839634125, -5.394112e-001,
1856508750, -5.412467e-001,
1873383375, -5.419350e-001,
1890258000, -5.471345e-001,
1907132625, -5.489415e-001,
1924007250, -5.529602e-001,
1940881875, -5.506042e-001,
1957756500, -5.550688e-001,
1974631125, -5.620997e-001,
1991505750, -5.653320e-001,
2008380375, -5.704317e-001,
2025255000, -5.696528e-001,
2042129625, -5.720430e-001,
2059004250, -5.687599e-001,
2075878875, -5.740289e-001,
2092753500, -5.804623e-001,
2109628125, -5.790432e-001,
2126502750, -5.784123e-001,
2143377375, -5.877889e-001,
2160252000, -5.944903e-001,
2177126625, -5.899772e-001,
2194001250, -5.941989e-001,
2210875875, -5.911782e-001,
2227750500, -5.998399e-001,
2244625125, -5.942274e-001,
2261499750, -6.002019e-001,
2278374375, -6.092614e-001,
2295249000, -6.024544e-001,
2312123625, -6.052082e-001,
2328998250, -6.050544e-001,
2345872875, -6.196755e-001,
2362747500, -6.254742e-001,
2379622125, -6.253842e-001,
2396496750, -6.165544e-001,
2413371375, -6.183366e-001,
2430246000, -6.217737e-001,
2447120625, -6.187080e-001,
2463995250, -6.308867e-001,
2480869875, -6.320276e-001,
2497744500, -6.321899e-001,
2514619125, -6.390462e-001,
2531493750, -6.359022e-001,
2548368375, -6.407448e-001,
2565243000, -6.405806e-001,
2582117625, -6.453842e-001,
2598992250, -6.446686e-001,
2615866875, -6.527068e-001,
2632741500, -6.534368e-001,
2649616125, -6.489174e-001,
2666490750, -6.503289e-001,
2683365375, -6.546052e-001,
2700240000, -6.595166e-001,
2717114625, -6.630978e-001,
2733989250, -6.642234e-001,
2750863875, -6.688033e-001,
2767738500, -6.674377e-001,
2784613125, -6.717310e-001,
2801487750, -6.808832e-001,
2818362375, -6.815825e-001,
2835237000, -6.752416e-001,
2852111625, -6.744916e-001,
2868986250, -6.736422e-001,
2885860875, -6.820648e-001,
2902735500, -6.909581e-001,
2919610125, -6.906502e-001,
