"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -7.035794e+001,
17174625, -2.385922e+001,
34049250, -1.848554e+001,
50923875, -1.832276e+001,
67798500, -2.162074e+001,
84673125, -3.650788e+001,
101547750, -2.118740e+001,
118422375, -1.309905e+001,
135297000, -8.079494e+000,
152171625, -4.279125e+000,
169046250, -1.169530e+000,
185920875, 1.536647e+000,
202795500, 3.827635e+000,
219670125, 5.872449e+000,
236544750, 7.709044e+000,
253419375, 9.362377e+000,
270294000, 1.085801e+001,
287168625, 1.221803e+001,
304043250, 1.343755e+001,
320917875, 1.455935e+001,
337792500, 1.559783e+001,
354667125, 1.651712e+001,
371541750, 1.734230e+001,
388416375, 1.809764e+001,
405291000, 1.878983e+001,
422165625, 1.943456e+001,
439040250, 2.005392e+001,
455914875, 2.063165e+001,
472789500, 2.118333e+001,
489664125, 2.170245e+001,
506538750, 2.218027e+001,
523413375, 2.262230e+001,
540288000, 2.303357e+001,
557162625, 2.340840e+001,
574037250, 2.375815e+001,
590911875, 2.407007e+001,
607786500, 2.435463e+001,
624661125, 2.462734e+001,
641535750, 2.488304e+001,
658410375, 2.511929e+001,
675285000, 2.535806e+001,
692159625, 2.558830e+001,
709034250, 2.579953e+001,
725908875, 2.600178e+001,
742783500, 2.619140e+001,
759658125, 2.637711e+001,
776532750, 2.654687e+001,
793407375, 2.670471e+001,
810282000, 2.685765e+001,
827156625, 2.699387e+001,
844031250, 2.713356e+001,
860905875, 2.727297e+001,
877780500, 2.739324e+001,
894655125, 2.751113e+001,
911529750, 2.762048e+001,
928404375, 2.772189e+001,
945279000, 2.781711e+001,
962153625, 2.790406e+001,
979028250, 2.798376e+001,
995902875, 2.806283e+001,
1012777500, 2.813671e+001,
1029652125, 2.820956e+001,
1046526750, 2.828964e+001,
1063401375, 2.836879e+001,
1080276000, 2.844933e+001,
1097150625, 2.852847e+001,
1114025250, 2.860447e+001,
1130899875, 2.866977e+001,
1147774500, 2.873094e+001,
1164649125, 2.879490e+001,
1181523750, 2.885051e+001,
1198398375, 2.889902e+001,
1215273000, 2.894218e+001,
1232147625, 2.897759e+001,
1249022250, 2.902716e+001,
1265896875, 2.907074e+001,
1282771500, 2.910978e+001,
1299646125, 2.915029e+001,
1316520750, 2.919995e+001,
1333395375, 2.924901e+001,
1350270000, 2.929107e+001,
1367144625, 2.932999e+001,
1384019250, 2.936593e+001,
1400893875, 2.939159e+001,
1417768500, 2.941427e+001,
1434643125, 2.942788e+001,
1451517750, 2.944174e+001,
1468392375, 2.945646e+001,
1485267000, 2.947657e+001,
1502141625, 2.949064e+001,
1519016250, 2.951105e+001,
1535890875, 2.952539e+001,
1552765500, 2.955272e+001,
1569640125, 2.956159e+001,
1586514750, 2.958159e+001,
1603389375, 2.959077e+001,
1620264000, 2.959388e+001,
1637138625, 2.959279e+001,
1654013250, 2.959287e+001,
1670887875, 2.958203e+001,
1687762500, 2.957268e+001,
1704637125, 2.957630e+001,
1721511750, 2.956822e+001,
1738386375, 2.956551e+001,
1755261000, 2.955117e+001,
1772135625, 2.953716e+001,
1789010250, 2.952305e+001,
1805884875, 2.951529e+001,
1822759500, 2.950074e+001,
1839634125, 2.949487e+001,
1856508750, 2.949184e+001,
1873383375, 2.950276e+001,
1890258000, 2.951316e+001,
1907132625, 2.953245e+001,
1924007250, 2.955374e+001,
1940881875, 2.958344e+001,
1957756500, 2.960733e+001,
1974631125, 2.961347e+001,
1991505750, 2.961522e+001,
2008380375, 2.961407e+001,
2025255000, 2.960459e+001,
2042129625, 2.958766e+001,
2059004250, 2.956170e+001,
2075878875, 2.953485e+001,
2092753500, 2.951322e+001,
2109628125, 2.950465e+001,
2126502750, 2.949983e+001,
2143377375, 2.949875e+001,
2160252000, 2.950256e+001,
2177126625, 2.950688e+001,
2194001250, 2.951894e+001,
2210875875, 2.953399e+001,
2227750500, 2.954221e+001,
2244625125, 2.955020e+001,
2261499750, 2.955699e+001,
2278374375, 2.956010e+001,
2295249000, 2.956217e+001,
