"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -6.836583e+001,
17174625, -6.826013e+001,
34049250, -6.476000e+001,
50923875, -7.888528e+001,
67798500, -6.940635e+001,
84673125, -7.012411e+001,
101547750, -7.167083e+001,
118422375, -7.971513e+001,
135297000, -7.668968e+001,
152171625, -7.026789e+001,
169046250, -7.370940e+001,
185920875, -6.582924e+001,
202795500, -7.267574e+001,
219670125, -7.063615e+001,
236544750, -7.271050e+001,
253419375, -7.132372e+001,
270294000, -7.725903e+001,
287168625, -7.207999e+001,
304043250, -7.240141e+001,
320917875, -6.966324e+001,
337792500, -6.978075e+001,
354667125, -8.562852e+001,
371541750, -7.082524e+001,
388416375, -6.651620e+001,
405291000, -7.381300e+001,
422165625, -6.760414e+001,
439040250, -7.414293e+001,
455914875, -7.816840e+001,
472789500, -7.384093e+001,
489664125, -7.495894e+001,
506538750, -6.676323e+001,
523413375, -7.393728e+001,
540288000, -7.046292e+001,
557162625, -6.782270e+001,
574037250, -8.433540e+001,
590911875, -7.880157e+001,
607786500, -6.909529e+001,
624661125, -7.001650e+001,
641535750, -7.689811e+001,
658410375, -6.867049e+001,
675285000, -7.419009e+001,
692159625, -7.119245e+001,
709034250, -7.430620e+001,
725908875, -6.581023e+001,
742783500, -7.841022e+001,
759658125, -6.476326e+001,
776532750, -8.449675e+001,
793407375, -8.030273e+001,
810282000, -7.741266e+001,
827156625, -6.847306e+001,
844031250, -7.175922e+001,
860905875, -7.683784e+001,
877780500, -6.767986e+001,
894655125, -6.823241e+001,
911529750, -7.572306e+001,
928404375, -6.382575e+001,
945279000, -7.015207e+001,
962153625, -6.909476e+001,
979028250, -7.304945e+001,
995902875, -6.302833e+001,
1012777500, -6.856244e+001,
1029652125, -7.771178e+001,
1046526750, -7.464182e+001,
1063401375, -6.745909e+001,
1080276000, -6.694956e+001,
1097150625, -6.925101e+001,
1114025250, -6.656709e+001,
1130899875, -6.239730e+001,
1147774500, -6.583406e+001,
1164649125, -6.820979e+001,
1181523750, -7.305264e+001,
1198398375, -7.470587e+001,
1215273000, -6.629720e+001,
1232147625, -6.424587e+001,
1249022250, -6.367261e+001,
1265896875, -7.280050e+001,
1282771500, -6.805528e+001,
1299646125, -7.017928e+001,
1316520750, -6.241030e+001,
1333395375, -6.369132e+001,
1350270000, -7.088558e+001,
1367144625, -6.237928e+001,
1384019250, -6.313266e+001,
1400893875, -6.113416e+001,
1417768500, -6.878181e+001,
1434643125, -6.115530e+001,
1451517750, -6.212137e+001,
1468392375, -6.268353e+001,
1485267000, -5.908023e+001,
1502141625, -6.570076e+001,
1519016250, -6.390169e+001,
1535890875, -6.129707e+001,
1552765500, -5.937466e+001,
1569640125, -6.232324e+001,
1586514750, -6.248666e+001,
1603389375, -5.957207e+001,
1620264000, -6.229999e+001,
1637138625, -6.196633e+001,
1654013250, -6.234947e+001,
1670887875, -5.746245e+001,
1687762500, -5.784794e+001,
1704637125, -5.867553e+001,
1721511750, -5.936168e+001,
1738386375, -6.218552e+001,
1755261000, -5.754309e+001,
1772135625, -5.770644e+001,
1789010250, -5.880381e+001,
1805884875, -5.951602e+001,
1822759500, -5.983664e+001,
1839634125, -5.537598e+001,
1856508750, -5.792725e+001,
1873383375, -5.664762e+001,
1890258000, -5.699805e+001,
1907132625, -5.791594e+001,
1924007250, -6.124575e+001,
1940881875, -5.628279e+001,
1957756500, -5.720751e+001,
1974631125, -5.438298e+001,
1991505750, -5.387029e+001,
2008380375, -5.591036e+001,
2025255000, -5.467910e+001,
2042129625, -5.769752e+001,
2059004250, -5.536615e+001,
2075878875, -5.588189e+001,
2092753500, -5.501757e+001,
2109628125, -5.431420e+001,
2126502750, -5.191058e+001,
2143377375, -5.250724e+001,
2160252000, -5.272583e+001,
2177126625, -5.235717e+001,
