"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -6.199794e+001,
17174625, -6.888587e+001,
34049250, -7.386574e+001,
50923875, -7.373679e+001,
67798500, -7.054659e+001,
84673125, -6.833853e+001,
101547750, -8.268238e+001,
118422375, -7.222643e+001,
135297000, -6.612937e+001,
152171625, -6.846647e+001,
169046250, -7.862086e+001,
185920875, -6.997296e+001,
202795500, -7.189339e+001,
219670125, -7.543623e+001,
236544750, -7.056819e+001,
253419375, -6.976041e+001,
270294000, -7.282486e+001,
287168625, -6.656602e+001,
304043250, -6.895242e+001,
320917875, -6.311831e+001,
337792500, -7.607350e+001,
354667125, -7.637939e+001,
371541750, -7.186407e+001,
388416375, -8.738202e+001,
405291000, -6.817630e+001,
422165625, -7.167965e+001,
439040250, -7.102914e+001,
455914875, -7.316492e+001,
472789500, -7.007136e+001,
489664125, -6.937691e+001,
506538750, -6.820776e+001,
523413375, -6.836667e+001,
540288000, -7.478651e+001,
557162625, -7.931441e+001,
574037250, -8.292830e+001,
590911875, -7.482651e+001,
607786500, -9.655767e+001,
624661125, -7.796145e+001,
641535750, -6.546525e+001,
658410375, -7.194360e+001,
675285000, -7.095422e+001,
692159625, -6.909271e+001,
709034250, -7.162531e+001,
725908875, -7.158437e+001,
742783500, -9.463741e+001,
759658125, -6.448604e+001,
776532750, -6.775041e+001,
793407375, -8.722935e+001,
810282000, -6.586871e+001,
827156625, -9.230486e+001,
844031250, -6.737327e+001,
860905875, -6.865296e+001,
877780500, -7.983533e+001,
894655125, -6.588280e+001,
911529750, -7.334779e+001,
928404375, -6.828529e+001,
945279000, -7.160784e+001,
962153625, -6.516008e+001,
979028250, -7.467256e+001,
995902875, -6.843670e+001,
1012777500, -6.474729e+001,
1029652125, -7.323003e+001,
1046526750, -6.721428e+001,
1063401375, -7.315768e+001,
1080276000, -6.830460e+001,
1097150625, -6.540454e+001,
1114025250, -7.315653e+001,
1130899875, -7.017636e+001,
1147774500, -8.040514e+001,
1164649125, -7.836373e+001,
1181523750, -6.460513e+001,
1198398375, -7.737441e+001,
1215273000, -6.649570e+001,
1232147625, -7.287976e+001,
1249022250, -7.036692e+001,
1265896875, -6.824727e+001,
1282771500, -6.541870e+001,
1299646125, -8.012167e+001,
1316520750, -6.591013e+001,
1333395375, -7.573026e+001,
1350270000, -6.738362e+001,
1367144625, -8.104321e+001,
1384019250, -6.836909e+001,
1400893875, -7.164255e+001,
1417768500, -8.148392e+001,
1434643125, -7.132079e+001,
1451517750, -7.023299e+001,
1468392375, -6.443630e+001,
1485267000, -7.307568e+001,
1502141625, -7.069321e+001,
1519016250, -7.406608e+001,
1535890875, -6.377927e+001,
1552765500, -7.508638e+001,
1569640125, -6.769657e+001,
1586514750, -7.266712e+001,
1603389375, -7.312781e+001,
1620264000, -7.482815e+001,
1637138625, -7.632074e+001,
1654013250, -8.630512e+001,
1670887875, -6.825835e+001,
1687762500, -6.444126e+001,
1704637125, -6.914236e+001,
1721511750, -8.327465e+001,
1738386375, -7.337061e+001,
1755261000, -6.616866e+001,
1772135625, -7.530170e+001,
1789010250, -7.590815e+001,
1805884875, -6.797794e+001,
1822759500, -6.824206e+001,
1839634125, -7.446494e+001,
1856508750, -7.112289e+001,
1873383375, -6.762233e+001,
1890258000, -7.813065e+001,
1907132625, -6.098574e+001,
1924007250, -6.389484e+001,
1940881875, -7.439209e+001,
1957756500, -6.460130e+001,
1974631125, -6.491466e+001,
1991505750, -6.726324e+001,
2008380375, -6.195947e+001,
2025255000, -6.132448e+001,
2042129625, -6.293509e+001,
2059004250, -7.025042e+001,
2075878875, -6.371112e+001,
2092753500, -6.870515e+001,
2109628125, -6.648067e+001,
2126502750, -5.802127e+001,
2143377375, -6.725240e+001,
2160252000, -6.381516e+001,
2177126625, -7.019157e+001,
2194001250, -6.208381e+001,
2210875875, -6.048474e+001,
2227750500, -6.740607e+001,
2244625125, -6.629561e+001,
2261499750, -6.197499e+001,
2278374375, -6.109875e+001,
2295249000, -6.089023e+001,
2312123625, -6.181047e+001,
2328998250, -6.173024e+001,
2345872875, -6.384047e+001,
2362747500, -6.069501e+001,
2379622125, -6.068986e+001,
2396496750, -5.756939e+001,
2413371375, -6.318356e+001,
2430246000, -5.840556e+001,
2447120625, -5.848382e+001,
2463995250, -6.020564e+001,
2480869875, -5.848015e+001,
2497744500, -5.927866e+001,
2514619125, -5.727835e+001,
2531493750, -5.982706e+001,
2548368375, -5.987752e+001,
2565243000, -5.840802e+001,
2582117625, -5.655772e+001,
2598992250, -5.771450e+001,
2615866875, -6.006039e+001,
2632741500, -5.511494e+001,
2649616125, -5.616082e+001,
2666490750, -5.486176e+001,
2683365375, -5.252476e+001,
2700240000, -5.269988e+001,
2717114625, -5.456630e+001,
2733989250, -5.451770e+001,
2750863875, -5.343348e+001,
2767738500, -5.247330e+001,
2784613125, -5.447388e+001,
2801487750, -5.110493e+001,
2818362375, -5.127758e+001,
2835237000, -5.111101e+001,
2852111625, -5.233181e+001,
2868986250, -5.044877e+001,
2885860875, -5.087721e+001,
2902735500, -4.798846e+001,
2919610125, -4.812985e+001,
2936484750, -4.765578e+001,
2953359375, -4.690510e+001,
2970234000, -4.740794e+001,
2987108625, -4.779845e+001,
3003983250, -4.675090e+001,
3020857875, -4.711186e+001,
3037732500, -4.586729e+001,
3054607125, -4.571085e+001,
3071481750, -4.440965e+001,
3088356375, -4.394098e+001,
3105231000, -4.324103e+001,
3122105625, -4.215267e+001,
3138980250, -4.151586e+001,
3155854875, -4.095443e+001,
3172729500, -4.019549e+001,
3189604125, -4.017209e+001,
3206478750, -4.025718e+001,
3223353375, -3.950425e+001,
