"S21 Log Mag"
"Frequency (Hz)","dB",
300000, -4.357670e-002,
17174625, -4.767271e-001,
34049250, -6.620123e-001,
50923875, -7.486508e-001,
67798500, -8.152452e-001,
84673125, -8.687584e-001,
101547750, -9.034035e-001,
118422375, -9.237241e-001,
135297000, -9.447419e-001,
152171625, -9.699383e-001,
169046250, -1.014385e+000,
185920875, -9.962103e-001,
202795500, -1.036145e+000,
219670125, -1.062945e+000,
236544750, -1.080005e+000,
253419375, -1.092650e+000,
270294000, -1.117693e+000,
287168625, -1.139984e+000,
304043250, -1.175031e+000,
320917875, -1.187206e+000,
337792500, -1.166263e+000,
354667125, -1.183001e+000,
371541750, -1.210505e+000,
388416375, -1.227580e+000,
405291000, -1.239936e+000,
422165625, -1.250438e+000,
439040250, -1.259560e+000,
455914875, -1.279005e+000,
472789500, -1.290371e+000,
489664125, -1.302464e+000,
506538750, -1.318795e+000,
523413375, -1.329728e+000,
540288000, -1.355087e+000,
557162625, -1.368930e+000,
574037250, -1.366004e+000,
590911875, -1.370387e+000,
607786500, -1.375362e+000,
624661125, -1.371930e+000,
641535750, -1.394134e+000,
658410375, -1.417696e+000,
675285000, -1.432785e+000,
692159625, -1.449242e+000,
709034250, -1.473750e+000,
725908875, -1.473093e+000,
742783500, -1.496671e+000,
759658125, -1.490503e+000,
776532750, -1.469863e+000,
793407375, -1.422761e+000,
810282000, -1.575339e+000,
827156625, -1.585086e+000,
844031250, -1.582717e+000,
860905875, -1.593640e+000,
877780500, -1.606493e+000,
894655125, -1.628214e+000,
911529750, -1.652086e+000,
928404375, -1.668855e+000,
945279000, -1.672264e+000,
962153625, -1.683116e+000,
979028250, -1.695965e+000,
995902875, -1.702978e+000,
1012777500, -1.711920e+000,
1029652125, -1.714265e+000,
1046526750, -1.718870e+000,
1063401375, -1.734887e+000,
1080276000, -1.744509e+000,
1097150625, -1.759283e+000,
1114025250, -1.769768e+000,
1130899875, -1.794538e+000,
1147774500, -1.804744e+000,
1164649125, -1.799447e+000,
1181523750, -1.794609e+000,
1198398375, -1.803396e+000,
1215273000, -1.825359e+000,
1232147625, -1.841346e+000,
1249022250, -1.852357e+000,
1265896875, -1.862889e+000,
1282771500, -1.876699e+000,
1299646125, -1.879517e+000,
1316520750, -1.885161e+000,
1333395375, -1.903403e+000,
1350270000, -1.917880e+000,
1367144625, -1.927172e+000,
1384019250, -1.941158e+000,
1400893875, -1.965632e+000,
1417768500, -1.983471e+000,
1434643125, -1.996885e+000,
1451517750, -2.007023e+000,
1468392375, -2.008902e+000,
1485267000, -2.013299e+000,
1502141625, -2.038366e+000,
1519016250, -2.050294e+000,
1535890875, -2.049145e+000,
1552765500, -2.040710e+000,
1569640125, -2.056293e+000,
1586514750, -2.065691e+000,
1603389375, -2.074231e+000,
1620264000, -2.070720e+000,
1637138625, -2.082115e+000,
1654013250, -2.082217e+000,
1670887875, -2.095472e+000,
1687762500, -2.096692e+000,
1704637125, -2.074476e+000,
1721511750, -2.158008e+000,
1738386375, -2.177432e+000,
1755261000, -2.187505e+000,
1772135625, -2.192369e+000,
1789010250, -2.198886e+000,
1805884875, -2.196158e+000,
1822759500, -2.203092e+000,
1839634125, -2.215297e+000,
1856508750, -2.225629e+000,
1873383375, -2.236872e+000,
1890258000, -2.239760e+000,
1907132625, -2.244750e+000,
1924007250, -2.259422e+000,
1940881875, -2.274134e+000,
1957756500, -2.293640e+000,
1974631125, -2.302982e+000,
1991505750, -2.308443e+000,
2008380375, -2.321009e+000,
2025255000, -2.335791e+000,
2042129625, -2.350847e+000,
2059004250, -2.363753e+000,
2075878875, -2.382647e+000,
2092753500, -2.397182e+000,
2109628125, -2.392085e+000,
2126502750, -2.383655e+000,
2143377375, -2.396286e+000,
2160252000, -2.417281e+000,
2177126625, -2.429345e+000,
2194001250, -2.445670e+000,
2210875875, -2.444915e+000,
2227750500, -2.453738e+000,
2244625125, -2.451840e+000,
2261499750, -2.471974e+000,
2278374375, -2.508757e+000,
2295249000, -2.515501e+000,
2312123625, -2.523008e+000,
2328998250, -2.527670e+000,
2345872875, -2.532414e+000,
2362747500, -2.530341e+000,
2379622125, -2.558461e+000,
2396496750, -2.584708e+000,
2413371375, -2.607347e+000,
2430246000, -2.594541e+000,
2447120625, -2.572960e+000,
2463995250, -2.577255e+000,
2480869875, -2.581405e+000,
2497744500, -2.600493e+000,
2514619125, -2.609545e+000,
2531493750, -2.621072e+000,
2548368375, -2.643269e+000,
2565243000, -2.668844e+000,
2582117625, -2.700530e+000,
2598992250, -2.696377e+000,
2615866875, -2.701105e+000,
2632741500, -2.691729e+000,
2649616125, -2.695138e+000,
2666490750, -2.701017e+000,
2683365375, -2.737587e+000,
2700240000, -2.773091e+000,
2717114625, -2.778915e+000,
2733989250, -2.771083e+000,
2750863875, -2.764093e+000,
2767738500, -2.769364e+000,
2784613125, -2.795161e+000,
2801487750, -2.815429e+000,
2818362375, -2.819789e+000,
2835237000, -2.836576e+000,
2852111625, -2.844280e+000,
2868986250, -2.853947e+000,
2885860875, -2.864976e+000,
2902735500, -2.878513e+000,
2919610125, -2.895498e+000,
2936484750, -2.892586e+000,
2953359375, -2.891679e+000,
2970234000, -2.902455e+000,
2987108625, -2.922763e+000,
3003983250, -2.942806e+000,
3020857875, -2.944279e+000,
3037732500, -2.933538e+000,
3054607125, -2.946017e+000,
3071481750, -2.950780e+000,
3088356375, -2.961603e+000,
3105231000, -2.965765e+000,
3122105625, -2.973268e+000,
3138980250, -2.970845e+000,
3155854875, -2.980701e+000,
3172729500, -3.000667e+000,
3189604125, -3.045545e+000,
3206478750, -3.077780e+000,
3223353375, -3.114966e+000,
3240228000, -3.089560e+000,
3257102625, -3.053343e+000,
3273977250, -3.038100e+000,
3290851875, -3.041900e+000,
3307726500, -3.063645e+000,
3324601125, -3.087029e+000,
3341475750, -3.084846e+000,
3358350375, -3.103895e+000,
3375225000, -3.117226e+000,
3392099625, -3.141500e+000,
3408974250, -3.182886e+000,
3425848875, -3.215912e+000,
3442723500, -3.264288e+000,
3459598125, -3.283541e+000,
3476472750, -3.281691e+000,
3493347375, -3.261900e+000,
3510222000, -3.216462e+000,
3527096625, -3.177890e+000,
3543971250, -3.153069e+000,
3560845875, -3.166090e+000,
